"","word","freq"
"chrome_crashpad","chrome_crashpad",2
"mariadbd","mariadbd",2
"gvfs-goa-volume","gvfs-goa-volume",2
"kworker/6:1-mm_percpu_wq","kworker/6:1-mm_percpu_wq",2
"gvfs-afc-volume","gvfs-afc-volume",2
"btrfs-cleaner","btrfs-cleaner",2
"btrfs-transaction","btrfs-transaction",2
"evolution-addre","evolution-addre",2
"gdm-wayland-ses","gdm-wayland-ses",2
"webextensions","webextensions",2
"systemd-journal","systemd-journal",2
"kworker/3:2-mm_percpu_wq","kworker/3:2-mm_percpu_wq",2
"gvfsd-recent","gvfsd-recent",2
"kworker/4:2-cgroup_destroy","kworker/4:2-cgroup_destroy",2
"gnome-session-c","gnome-session-c",2
"xdg-document-po","xdg-document-po",2
"systemd-udevd","systemd-udevd",2
"fusermount3","fusermount3",2
"gnome-shell","gnome-shell",2
"utility","utility",2
"gvfsd","gvfsd",2
"kworker/5:0-mm_percpu_wq","kworker/5:0-mm_percpu_wq",2
"gvfsd-fuse","gvfsd-fuse",2
"kworker/u16:7-events_unbound","kworker/u16:7-events_unbound",2
"kworker/5:2-events","kworker/5:2-events",2
"kworker/6:0-events","kworker/6:0-events",2
"kworker/7:0-pm","kworker/7:0-pm",2
"kworker/u16:20-flush-btrfs-1","kworker/u16:20-flush-btrfs-1",2
"mariadb","mariadb",2
"kworker/u16:23-btrfs-endio-write","kworker/u16:23-btrfs-endio-write",2
"kworker/u16:26-btrfs-endio-write","kworker/u16:26-btrfs-endio-write",2
"kworker/u16:28-btrfs-endio-write","kworker/u16:28-btrfs-endio-write",2
"kworker/r-cfg80","kworker/r-cfg80",2
"kworker/u16:51-flush-btrfs-1","kworker/u16:51-flush-btrfs-1",2
"kworker/u16:53-btrfs-endio-write","kworker/u16:53-btrfs-endio-write",2
"irq/127-mei_me","irq/127-mei_me",2
"irq/136-mmc0","irq/136-mmc0",2
"irq/138-iwlwifi","irq/138-iwlwifi",2
"gvfsd-metadata","gvfsd-metadata",2
"irq/80-msft0001:02","irq/80-msft0001:02",2
"rtkit-daemon","rtkit-daemon",2
"fsnotifier","fsnotifier",2
"tilix","tilix",2
"kworker/u17:0-i915_flip","kworker/u17:0-i915_flip",2
"kworker/r-crypt","kworker/r-crypt",2
"irq/42-wcom51c5:00","irq/42-wcom51c5:00",2
"irq/65-0416c300:00","irq/65-0416c300:00",2
"kworker/u17:1-rb_allocator","kworker/u17:1-rb_allocator",2
"kworker/u16:0","kworker/u16:0",2
"at-spi-bus-laun","at-spi-bus-laun",2
"kworker/r-ttm","kworker/r-ttm",2
"at-spi2-registr","at-spi2-registr",2
"card1-crtc0","card1-crtc0",2
"kworker/2:1-events","kworker/2:1-events",2
"card1-crtc1","card1-crtc1",2
"card1-crtc2","card1-crtc2",2
"systemd-timesyn","systemd-timesyn",2
"firefox","firefox",2
"xdg-permission-","xdg-permission-",2
"dev","dev",2
"npm","npm",2
"run","run",2
"gnome-shell-cal","gnome-shell-cal",2
"xwayland","xwayland",2
"iio-sensor-prox","iio-sensor-prox",2
"systemd-logind","systemd-logind",2
"evolution-sourc","evolution-sourc",2
"rdd","rdd",2
"nautilus","nautilus",2
"gsd-xsettings","gsd-xsettings",2
"networkmanager","networkmanager",2
"polkitd","polkitd",2
"gnome-calendar","gnome-calendar",2
"kworker/3:0-rcu_gp","kworker/3:0-rcu_gp",2
"kworker/2:2-events","kworker/2:2-events",2
"mutter-x11-fram","mutter-x11-fram",2
"gsd-a11y-settin","gsd-a11y-settin",2
"gsd-color","gsd-color",2
"gsd-datetime","gsd-datetime",2
"gvfsd-network","gvfsd-network",2
"gsd-housekeepin","gsd-housekeepin",2
"gsd-keyboard","gsd-keyboard",2
"gvfsd-http","gvfsd-http",2
"gsd-media-keys","gsd-media-keys",2
"kworker/0:1h-kblockd","kworker/0:1h-kblockd",1
"kworker/5:1h-events_highpri","kworker/5:1h-events_highpri",1
"kworker/4:1h-events_highpri","kworker/4:1h-events_highpri",1
"kworker/7:3-i915-unordered","kworker/7:3-i915-unordered",1
"kworker/2:0-events","kworker/2:0-events",1
"kworker/u16:27-events_unbound","kworker/u16:27-events_unbound",1
"kworker/0:1h-events_highpri","kworker/0:1h-events_highpri",1
"kworker/5:1h-kblockd","kworker/5:1h-kblockd",1
"kworker/4:1h-kblockd","kworker/4:1h-kblockd",1
"kworker/7:3-events","kworker/7:3-events",1
"kworker/2:0-mm_percpu_wq","kworker/2:0-mm_percpu_wq",1
"kworker/u16:27-btrfs-endio","kworker/u16:27-btrfs-endio",1
